Series ID, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022
LAUST010000000000003,4.6,5.2,5.9,6.0,5.6,4.4,4.0,4.1,5.8,10.1,10.4,9.6,8.2,7.3,6.7,6.1,5.9,4.5,3.9,3.2,6.4,3.4,2.6
LAUST010000000000004,99442,110560,124988,127100,119523,95122,86800,88418,127275,217809,228204,210958,177660,159274,146010,131852,126572,99585,87839,72498,145263,76019,59358
LAUST010000000000005,2047731,2017467,1987633,2001568,2018783,2045234,2083207,2092030,2049579,1938784,1968824,1991379,2000848,2012828,2018705,2020443,2029157,2103873,2152270,2200437,2124409,2183330,2226670
LAUST010000000000006,2147173,2128027,2112621,2128668,2138306,2140356,2170007,2180448,2176854,2156593,2197028,2202337,2178508,2172102,2164715,2152295,2155729,2203458,2240109,2272935,2269672,2259349,2286028
LAUST010000000000007,60.6,59.5,58.4,58.5,58.6,58.8,59.1,58.8,57.1,53.5,53.4,53.5,53.4,53.4,53.4,53.2,53.2,54.1,55.0,55.9,53.6,54.7,55.5
LAUST010000000000008,63.6,62.7,62.1,62.2,62.1,61.6,61.6,61.3,60.6,59.6,59.5,59.1,58.2,57.7,57.2,56.6,56.5,56.7,57.3,57.8,57.2,56.6,57.0
LAUST010000000000009,3378393,3392313,3404450,3421469,3444085,3477391,3522273,3557957,3591892,3621410,3690247,3725085,3745693,3765926,3783191,3799373,3816953,3889272,3911655,3935788,3966036,3989929,4013691
LAUST020000000000003,6.3,6.3,7.2,7.7,7.4,6.9,6.6,6.3,6.5,8.0,8.2,7.8,7.2,7.0,6.7,6.3,6.6,6.5,6.0,5.6,8.3,6.4,4.0
LAUST020000000000004,20187,20230,23494,25530,25075,23884,23084,21924,22934,28661,29522,28287,26319,25440,24577,22821,23824,23481,21431,19801,28852,22633,14399
LAUST020000000000005,299590,301422,303560,306964,312394,320273,325672,328309,332364,330718,332185,336312,337834,338104,339704,339604,338193,337108,334068,333360,318298,330525,342400
LAUST020000000000006,319777,321652,327054,332494,337469,344157,348756,350233,355298,359379,361707,364599,364153,363544,364281,362425,362017,360589,355499,353161,347150,353158,356799
LAUST020000000000007,68.7,68.0,67.1,66.7,66.3,66.7,66.5,66.2,66.2,64.6,64.1,63.6,63.1,62.8,62.9,62.6,61.9,61.7,61.2,61.2,58.4,60.6,62.6
