State,Vintage,Dwellings,Year,HPI Yearly Percent Change,HPI Index Publication Base,Unemployment Rate,Unemployment,Employment,Labor Force,Employment-Population Ratio,Labor Force Participation Rate,Inflation Rate (%),Annual Change
Alabama,Existing,Single-Family,2000,2.509,74.117,4.6,99442.0,2047731.0,2147173.0,60.6,63.6,3.3769,1.19
Alaska,Existing,Single-Family,2000,1.724,56.367,6.3,20187.0,299590.0,319777.0,68.7,73.3,3.3769,1.19
Arizona,Existing,Single-Family,2000,6.005,63.434,4.0,99786.0,2410825.0,2510611.0,62.6,65.2,3.3769,1.19
Arkansas,Existing,Single-Family,2000,2.349,71.206,4.2,52674.0,1207833.0,1260507.0,59.6,62.2,3.3769,1.19
California,Existing,Single-Family,2000,12.548,52.217,4.9,825917.0,16011619.0,16837536.0,63.8,67.0,3.3769,1.19
Colorado,Existing,Single-Family,2000,11.659,63.887,2.7,64267.0,2294104.0,2358371.0,70.3,72.2,3.3769,1.19
Connecticut,Existing,Single-Family,2000,7.711,70.022,2.1,37100.0,1723597.0,1760697.0,66.4,67.9,3.3769,1.19
Delaware,Existing,Single-Family,2000,5.712,63.391,3.6,14768.0,398188.0,412956.0,66.7,69.2,3.3769,1.19
Florida,Existing,Single-Family,2000,6.766,59.404,3.8,297174.0,7620683.0,7917857.0,61.0,63.4,3.3769,1.19
Georgia,Existing,Single-Family,2000,6.043,79.602,3.5,147329.0,4055366.0,4202695.0,66.5,69.0,3.3769,1.19
Hawaii,Existing,Single-Family,2000,3.009,43.42,4.2,25659.0,579736.0,605395.0,64.4,67.2,3.3769,1.19
Idaho,Existing,Single-Family,2000,1.707,64.473,4.7,30838.0,630228.0,661066.0,66.3,69.5,3.3769,1.19
Illinois,Existing,Single-Family,2000,6.289,78.539,4.4,288369.0,6206060.0,6494429.0,66.4,69.5,3.3769,1.19
Indiana,Existing,Single-Family,2000,3.141,81.505,3.0,94415.0,3030889.0,3125304.0,65.9,67.9,3.3769,1.19
Iowa,Existing,Single-Family,2000,4.117,71.455,2.7,42966.0,1551434.0,1594400.0,69.5,71.4,3.3769,1.19
Kansas,Existing,Single-Family,2000,5.13,73.379,3.8,52765.0,1349841.0,1402606.0,67.4,70.1,3.3769,1.19
Kentucky,Existing,Single-Family,2000,4.332,74.063,4.1,81168.0,1876232.0,1957400.0,60.8,63.4,3.3769,1.19
Louisiana,Existing,Single-Family,2000,3.47,62.214,5.2,104408.0,1921984.0,2026392.0,58.4,61.6,3.3769,1.19
Maine,Existing,Single-Family,2000,8.386,61.9,3.3,22508.0,654981.0,677489.0,65.9,68.1,3.3769,1.19
Maryland,Existing,Single-Family,2000,5.514,56.35,3.5,98961.0,2702430.0,2801391.0,67.7,70.1,3.3769,1.19
Massachusetts,Existing,Single-Family,2000,14.442,63.314,2.8,94210.0,3246356.0,3340566.0,65.9,67.8,3.3769,1.19
Michigan,Existing,Single-Family,2000,7.231,94.055,3.6,187817.0,4968878.0,5156695.0,66.1,68.6,3.3769,1.19
Minnesota,Existing,Single-Family,2000,10.497,70.012,3.0,85110.0,2714001.0,2799111.0,72.8,75.0,3.3769,1.19
Mississippi,Existing,Single-Family,2000,3.062,73.865,5.3,70041.0,1239841.0,1309882.0,59.1,62.5,3.3769,1.19
Missouri,Existing,Single-Family,2000,5.769,74.651,3.4,100983.0,2870458.0,2971441.0,67.8,70.2,3.3769,1.19
Montana,Existing,Single-Family,2000,3.77,54.134,4.8,22686.0,447383.0,470069.0,65.1,68.4,3.3769,1.19
Nebraska,Existing,Single-Family,2000,3.487,72.532,2.8,26229.0,912620.0,938849.0,71.1,73.1,3.3769,1.19
Nevada,Existing,Single-Family,2000,3.116,69.465,4.1,44126.0,1026650.0,1070776.0,67.4,70.3,3.3769,1.19
New Hampshire,Existing,Single-Family,2000,13.345,65.628,2.7,18196.0,667603.0,685799.0,70.3,72.2,3.3769,1.19
New Jersey,Existing,Single-Family,2000,8.946,60.771,3.7,156816.0,4130824.0,4287640.0,64.1,66.6,3.3769,1.19
New Mexico,Existing,Single-Family,2000,1.178,68.581,5.0,42484.0,803666.0,846150.0,59.9,63.0,3.3769,1.19
New York,Existing,Single-Family,2000,9.124,59.314,4.5,413004.0,8727537.0,9140541.0,60.0,62.8,3.3769,1.19
North Carolina,Existing,Single-Family,2000,3.702,74.484,3.7,154654.0,3972811.0,4127465.0,65.0,67.5,3.3769,1.19
North Dakota,Existing,Single-Family,2000,1.967,46.631,3.0,10146.0,332615.0,342761.0,68.6,70.7,3.3769,1.19
Ohio,Existing,Single-Family,2000,3.798,87.951,4.1,237102.0,5544340.0,5781442.0,64.3,67.0,3.3769,1.19
Oklahoma,Existing,Single-Family,2000,3.944,66.379,3.0,49568.0,1605949.0,1655517.0,62.2,64.2,3.3769,1.19
Oregon,Existing,Single-Family,2000,2.878,57.864,5.2,94214.0,1717623.0,1811837.0,65.0,68.6,3.3769,1.19
Pennsylvania,Existing,Single-Family,2000,3.604,62.564,4.2,257590.0,5848152.0,6105742.0,61.6,64.4,3.3769,1.19
Rhode Island,Existing,Single-Family,2000,10.53,61.9,4.0,21701.0,520813.0,542514.0,64.1,66.8,3.3769,1.19
South Carolina,Existing,Single-Family,2000,4.463,72.335,3.7,72922.0,1892559.0,1965481.0,62.5,64.9,3.3769,1.19
South Dakota,Existing,Single-Family,2000,3.956,61.451,2.5,10372.0,398124.0,408496.0,70.9,72.7,3.3769,1.19
Tennessee,Existing,Single-Family,2000,2.708,70.169,3.9,110241.0,2738785.0,2849026.0,62.8,65.4,3.3769,1.19
Texas,Existing,Single-Family,2000,6.104,60.922,4.4,455364.0,9932973.0,10388337.0,65.3,68.3,3.3769,1.19
Utah,Existing,Single-Family,2000,1.011,64.707,3.3,38110.0,1104750.0,1142860.0,69.8,72.2,3.3769,1.19
Vermont,Existing,Single-Family,2000,7.267,57.776,2.8,9388.0,324667.0,334055.0,68.5,70.5,3.3769,1.19
Virginia,Existing,Single-Family,2000,6.911,56.505,2.3,81909.0,3524481.0,3606390.0,66.4,68.0,3.3769,1.19
Washington,Existing,Single-Family,2000,5.21,59.309,5.1,157856.0,2929824.0,3087680.0,65.6,69.1,3.3769,1.19
West Virginia,Existing,Single-Family,2000,1.57,69.428,5.6,44624.0,754457.0,799081.0,52.8,55.9,3.3769,1.19
Wisconsin,Existing,Single-Family,2000,6.116,75.955,3.4,100906.0,2884737.0,2985643.0,70.6,73.1,3.3769,1.19
Wyoming,Existing,Single-Family,2000,4.37,52.463,3.8,9975.0,255726.0,265701.0,68.6,71.3,3.3769,1.19
Alabama,Existing,Single-Family,2001,5.516,78.206,5.2,110560.0,2017467.0,2128027.0,59.5,62.7,2.8262,-0.55
Alaska,Existing,Single-Family,2001,5.005,59.188,6.3,20230.0,301422.0,321652.0,68.0,72.6,2.8262,-0.55
Arizona,Existing,Single-Family,2001,6.597,67.619,4.7,122848.0,2470816.0,2593664.0,62.5,65.6,2.8262,-0.55
Arkansas,Existing,Single-Family,2001,5.358,75.022,4.8,60105.0,1201314.0,1261419.0,58.9,61.8,2.8262,-0.55
California,Existing,Single-Family,2001,12.764,58.882,5.5,935919.0,16160509.0,17096428.0,63.3,67.0,2.8262,-0.55
Colorado,Existing,Single-Family,2001,9.338,69.852,3.8,91465.0,2304547.0,2396012.0,68.9,71.6,2.8262,-0.55
Connecticut,Existing,Single-Family,2001,8.811,76.192,2.9,50601.0,1698594.0,1749195.0,65.0,67.0,2.8262,-0.55
Delaware,Existing,Single-Family,2001,7.317,68.03,3.6,15046.0,406517.0,421563.0,67.2,69.7,2.8262,-0.55
Florida,Existing,Single-Family,2001,9.955,65.318,4.4,356758.0,7692124.0,8048882.0,60.4,63.2,2.8262,-0.55
Georgia,Existing,Single-Family,2001,7.311,85.422,4.1,174373.0,4083528.0,4257901.0,65.6,68.4,2.8262,-0.55
Hawaii,Existing,Single-Family,2001,8.202,46.982,4.3,26177.0,581379.0,607556.0,64.1,67.0,2.8262,-0.55
Idaho,Existing,Single-Family,2001,5.252,67.86,5.1,34368.0,643913.0,678281.0,66.4,70.0,2.8262,-0.55
Illinois,Existing,Single-Family,2001,6.005,83.256,5.4,351000.0,6103092.0,6454092.0,64.9,68.6,2.8262,-0.55
Indiana,Existing,Single-Family,2001,4.95,85.54,4.2,133495.0,3010490.0,3143985.0,65.0,67.9,2.8262,-0.55
Iowa,Existing,Single-Family,2001,5.219,75.184,3.3,53711.0,1556923.0,1610634.0,69.5,71.9,2.8262,-0.55
Kansas,Existing,Single-Family,2001,5.404,77.344,4.3,59746.0,1338775.0,1398521.0,66.5,69.4,2.8262,-0.55
Kentucky,Existing,Single-Family,2001,4.911,77.7,5.2,101791.0,1852043.0,1953834.0,59.6,62.9,2.8262,-0.55
Louisiana,Existing,Single-Family,2001,5.483,65.625,5.6,113665.0,1913555.0,2027220.0,58.0,61.5,2.8262,-0.55
Maine,Existing,Single-Family,2001,9.814,67.974,3.8,25331.0,649627.0,674958.0,64.7,67.2,2.8262,-0.55
Maryland,Existing,Single-Family,2001,8.098,60.912,4.2,118836.0,2717443.0,2836279.0,67.1,70.0,2.8262,-0.55
Massachusetts,Existing,Single-Family,2001,12.093,70.97,3.8,128540.0,3258352.0,3386892.0,65.5,68.1,2.8262,-0.55
Michigan,Existing,Single-Family,2001,5.842,99.55,5.2,266726.0,4872118.0,5138844.0,64.3,67.9,2.8262,-0.55
Minnesota,Existing,Single-Family,2001,10.32,77.237,3.8,107088.0,2740867.0,2847955.0,72.5,75.3,2.8262,-0.55
Mississippi,Existing,Single-Family,2001,5.263,77.752,5.5,71197.0,1223536.0,1294733.0,58.1,61.5,2.8262,-0.55
Missouri,Existing,Single-Family,2001,5.947,79.09,4.5,134748.0,2853157.0,2987905.0,66.8,69.9,2.8262,-0.55
Montana,Existing,Single-Family,2001,5.649,57.193,4.6,21489.0,443866.0,465355.0,64.0,67.1,2.8262,-0.55
Nebraska,Existing,Single-Family,2001,4.181,75.565,3.1,29712.0,915662.0,945374.0,70.9,73.2,2.8262,-0.55
Nevada,Existing,Single-Family,2001,6.452,73.947,5.2,57760.0,1055769.0,1113529.0,66.8,70.5,2.8262,-0.55
New Hampshire,Existing,Single-Family,2001,12.299,73.699,3.4,23463.0,668566.0,692029.0,69.3,71.7,2.8262,-0.55
New Jersey,Existing,Single-Family,2001,9.901,66.788,4.2,182271.0,4112095.0,4294366.0,63.4,66.2,2.8262,-0.55
New Mexico,Existing,Single-Family,2001,4.343,71.56,5.0,42531.0,812557.0,855088.0,60.0,63.2,2.8262,-0.55
New York,Existing,Single-Family,2001,9.391,64.884,4.9,445991.0,8680547.0,9126538.0,59.3,62.3,2.8262,-0.55
North Carolina,Existing,Single-Family,2001,5.333,78.456,5.6,235835.0,3956124.0,4191959.0,63.8,67.6,2.8262,-0.55
North Dakota,Existing,Single-Family,2001,5.039,48.981,2.8,9723.0,332805.0,342528.0,68.7,70.7,2.8262,-0.55
Ohio,Existing,Single-Family,2001,5.329,92.637,4.4,254737.0,5566414.0,5821151.0,64.2,67.2,2.8262,-0.55
Oklahoma,Existing,Single-Family,2001,5.565,70.073,3.6,60874.0,1611746.0,1672620.0,62.1,64.5,2.8262,-0.55
Oregon,Existing,Single-Family,2001,5.643,61.129,6.4,115717.0,1699359.0,1815076.0,63.4,67.7,2.8262,-0.55
Pennsylvania,Existing,Single-Family,2001,6.709,66.761,4.8,296087.0,5882813.0,6178900.0,61.8,64.9,2.8262,-0.55
Rhode Island,Existing,Single-Family,2001,11.189,68.826,4.5,24129.0,517532.0,541661.0,63.1,66.1,2.8262,-0.55
South Carolina,Existing,Single-Family,2001,6.158,76.789,5.3,102710.0,1839246.0,1941956.0,60.0,63.4,2.8262,-0.55
South Dakota,Existing,Single-Family,2001,5.27,64.69,3.0,12421.0,401072.0,413493.0,70.8,73.0,2.8262,-0.55
Tennessee,Existing,Single-Family,2001,4.866,73.583,4.5,129038.0,2728621.0,2857659.0,62.0,64.9,2.8262,-0.55
Texas,Existing,Single-Family,2001,6.648,64.972,5.0,524310.0,10014830.0,10539140.0,64.6,68.0,2.8262,-0.55
Utah,Existing,Single-Family,2001,4.339,67.515,4.4,50827.0,1112047.0,1162874.0,68.6,71.8,2.8262,-0.55
Vermont,Existing,Single-Family,2001,7.701,62.225,3.3,11165.0,326980.0,338145.0,68.3,70.6,2.8262,-0.55
Virginia,Existing,Single-Family,2001,8.666,61.402,3.3,121438.0,3559669.0,3681107.0,66.2,68.4,2.8262,-0.55
Washington,Existing,Single-Family,2001,6.137,62.949,6.0,185301.0,2900354.0,3085655.0,64.0,68.1,2.8262,-0.55
West Virginia,Existing,Single-Family,2001,5.407,73.182,5.4,42939.0,753657.0,796596.0,52.8,55.8,2.8262,-0.55
Wisconsin,Existing,Single-Family,2001,5.261,79.952,4.4,133376.0,2884305.0,3017681.0,69.9,73.1,2.8262,-0.55
Wyoming,Existing,Single-Family,2001,5.722,55.465,3.8,10221.0,258172.0,268393.0,68.8,71.6,2.8262,-0.55
Alabama,Existing,Single-Family,2002,2.932,80.499,5.9,124988.0,1987633.0,2112621.0,58.4,62.1,1.586,-1.24
Alaska,Existing,Single-Family,2002,5.398,62.383,7.2,23494.0,303560.0,327054.0,67.1,72.3,1.586,-1.24
Arizona,Existing,Single-Family,2002,5.44,71.297,6.2,165451.0,2518051.0,2683502.0,62.0,66.0,1.586,-1.24
Arkansas,Existing,Single-Family,2002,3.297,77.495,5.3,67958.0,1209006.0,1276964.0,58.9,62.2,1.586,-1.24
California,Existing,Single-Family,2002,11.168,65.458,6.8,1165056.0,16081472.0,17246528.0,62.1,66.6,1.586,-1.24
Colorado,Existing,Single-Family,2002,4.977,73.329,5.7,139264.0,2309639.0,2448903.0,67.8,71.9,1.586,-1.24
Connecticut,Existing,Single-Family,2002,9.579,83.491,4.4,78276.0,1697788.0,1776064.0,64.5,67.5,1.586,-1.24
Delaware,Existing,Single-Family,2002,8.02,73.486,4.3,17790.0,399417.0,417207.0,65.1,68.0,1.586,-1.24
Florida,Existing,Single-Family,2002,10.216,71.991,4.9,398128.0,7651923.0,8050051.0,58.9,62.0,1.586,-1.24
Georgia,Existing,Single-Family,2002,4.523,89.285,5.3,229990.0,4111627.0,4341617.0,64.7,68.4,1.586,-1.24
Hawaii,Existing,Single-Family,2002,7.695,50.597,4.0,24170.0,577616.0,601786.0,63.1,65.8,1.586,-1.24
Idaho,Existing,Single-Family,2002,3.019,69.908,5.6,38631.0,647019.0,685650.0,65.5,69.4,1.586,-1.24
Illinois,Existing,Single-Family,2002,6.173,88.396,6.6,415901.0,5925990.0,6341891.0,62.6,67.0,1.586,-1.24
Indiana,Existing,Single-Family,2002,2.874,87.998,5.2,163746.0,2997963.0,3161709.0,64.4,67.9,1.586,-1.24
Iowa,Existing,Single-Family,2002,3.658,77.934,4.0,64869.0,1564178.0,1629047.0,69.6,72.5,1.586,-1.24
Kansas,Existing,Single-Family,2002,4.336,80.697,5.1,72172.0,1347163.0,1419335.0,66.4,70.0,1.586,-1.24
Kentucky,Existing,Single-Family,2002,3.345,80.299,5.8,112432.0,1832250.0,1944682.0,58.5,62.1,1.586,-1.24
Louisiana,Existing,Single-Family,2002,3.896,68.182,6.0,120705.0,1892947.0,2013652.0,57.2,60.8,1.586,-1.24
Maine,Existing,Single-Family,2002,9.929,74.723,4.5,30258.0,648301.0,678559.0,63.8,66.8,1.586,-1.24
Maryland,Existing,Single-Family,2002,10.455,67.281,4.8,137390.0,2734977.0,2872367.0,66.6,69.9,1.586,-1.24
Massachusetts,Existing,Single-Family,2002,12.172,79.609,5.2,179347.0,3257517.0,3436864.0,65.1,68.7,1.586,-1.24
Michigan,Existing,Single-Family,2002,4.358,103.888,6.2,311436.0,4723286.0,5034722.0,62.0,66.1,1.586,-1.24
Minnesota,Existing,Single-Family,2002,9.008,84.194,4.5,128259.0,2744745.0,2873004.0,71.8,75.1,1.586,-1.24
Mississippi,Existing,Single-Family,2002,2.564,79.746,6.4,82994.0,1207799.0,1290793.0,57.2,61.1,1.586,-1.24
Missouri,Existing,Single-Family,2002,5.501,83.44,5.3,157736.0,2823361.0,2981097.0,65.5,69.2,1.586,-1.24
Montana,Existing,Single-Family,2002,5.464,60.318,4.6,21286.0,445122.0,466408.0,63.6,66.6,1.586,-1.24
Nebraska,Existing,Single-Family,2002,3.258,78.027,3.7,35104.0,917833.0,952937.0,70.7,73.4,1.586,-1.24
Nevada,Existing,Single-Family,2002,6.392,78.674,5.7,64495.0,1069601.0,1134096.0,65.4,69.4,1.586,-1.24
New Hampshire,Existing,Single-Family,2002,11.934,82.495,4.5,31583.0,668980.0,700563.0,68.2,71.5,1.586,-1.24
New Jersey,Existing,Single-Family,2002,12.1,74.869,5.8,250884.0,4094389.0,4345273.0,62.6,66.5,1.586,-1.24
New Mexico,Existing,Single-Family,2002,3.656,74.176,5.5,47575.0,819275.0,866850.0,59.7,63.1,1.586,-1.24
New York,Existing,Single-Family,2002,10.531,71.717,6.2,576533.0,8718237.0,9294770.0,59.2,63.1,1.586,-1.24
North Carolina,Existing,Single-Family,2002,3.13,80.912,6.9,292056.0,3917218.0,4209274.0,62.3,67.0,1.586,-1.24
North Dakota,Existing,Single-Family,2002,4.443,51.158,3.4,11611.0,330852.0,342463.0,68.3,70.7,1.586,-1.24
Ohio,Existing,Single-Family,2002,3.392,95.78,5.8,337401.0,5490092.0,5827493.0,63.0,66.9,1.586,-1.24
Oklahoma,Existing,Single-Family,2002,3.947,72.838,4.6,77881.0,1607453.0,1685334.0,61.6,64.5,1.586,-1.24
Oregon,Existing,Single-Family,2002,4.258,63.731,7.5,137360.0,1696894.0,1834254.0,62.4,67.4,1.586,-1.24
Pennsylvania,Existing,Single-Family,2002,6.493,71.096,5.6,345240.0,5869299.0,6214539.0,61.4,65.0,1.586,-1.24
Rhode Island,Existing,Single-Family,2002,15.441,79.453,5.1,28043.0,522201.0,550244.0,63.1,66.5,1.586,-1.24
South Carolina,Existing,Single-Family,2002,3.573,79.533,6.4,125813.0,1828735.0,1954548.0,59.0,63.1,1.586,-1.24
South Dakota,Existing,Single-Family,2002,4.342,67.499,3.2,13450.0,403343.0,416793.0,70.6,73.0,1.586,-1.24
Tennessee,Existing,Single-Family,2002,2.903,75.72,5.1,148524.0,2750424.0,2898948.0,61.9,65.2,1.586,-1.24
Texas,Existing,Single-Family,2002,3.554,67.281,6.3,680965.0,10061049.0,10742014.0,63.8,68.1,1.586,-1.24
Utah,Existing,Single-Family,2002,1.325,68.409,5.7,66852.0,1112581.0,1179433.0,67.2,71.2,1.586,-1.24
Vermont,Existing,Single-Family,2002,7.657,66.99,3.8,13181.0,330080.0,343261.0,68.3,71.0,1.586,-1.24
Virginia,Existing,Single-Family,2002,8.696,66.742,4.4,162969.0,3576530.0,3739499.0,65.6,68.6,1.586,-1.24
Washington,Existing,Single-Family,2002,4.369,65.699,7.1,219675.0,2881326.0,3101001.0,62.6,67.4,1.586,-1.24
West Virginia,Existing,Single-Family,2002,3.443,75.702,6.5,51669.0,747040.0,798709.0,52.3,55.9,1.586,-1.24
